relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c
31.17,360,9,29.91,6.21,31,12,29.84444444
35.25,30,7,29.91,6.21,30,13,29.18888889
42.52,320,8,29.88,6.21,29,15,28.84444444
37.62,330,7,29.85,6.21,30,14,29.42777778
37.62,360,8,29.91,6.21,30,14,29.42777778
31.45,10,10,29.77,6.21,32,13,30.98888889
37.62,320,8,29.91,6.21,30,14,29.42777778
35.53,40,8,29.97,6.21,31,14,30.32222222
21.79,40,9,29.94,6.21,35,10,33.27222222
10.81,260,7,29.8,6.21,39,3,35.90555556
14.08,220,12,29.77,1.24,38,6,35.57777778
19.28,60,10,29.85,6.21,36,9,34.08888889
31.99,30,10,29.88,6.21,34,15,34
30.26,50,6,29.85,6.21,35,15,35
17.74,310,3,29.83,3.73,40,11,38.71666667
36.35,360,9,29.94,6.21,34,17,34
43.34,50,12,30,6.21,32,18,32.90555556
48.32,20,11,30,6.21,29,17,29.46111111
42.25,20,11,30,6.21,28,14,27.82222222
41.97,10,9,29.97,6.21,27,13,26.96111111
39.3,40,9,30,6.21,27,12,27
37.35,50,13,30,6.21,29,13,28.38333333
26.05,60,13,29.94,6.21,33,11,31.49444444
14.44,200,14,29.77,3.73,35,4,32.53888889
34.41,280,9,29.91,6.21,27,10,27
65.54,70,12,29.91,6.21,27,20,28.49444444
44.25,300,8,30.03,6.21,25,12,25
47.52,320,7,29.97,6.21,26,14,26
36.79,30,14,29.94,6.21,27,11,27
28.63,60,15,29.97,6.21,29,9,27.8
25.52,350,8,30,6.21,31,9,29.37222222
42.8,40,8,30,3.73,30,16,30.02777778
48.05,350,7,29.97,6.21,28,16,28.27777778
44.25,40,5,29.94,3.73,25,12,25
34.13,50,12,29.91,6.21,26,9,26
41.97,40,9,29.88,6.21,27,13,26.96111111
45.34,350,6,30.06,6.21,29,16,29.12777778
42.52,10,8,30.03,3.73,29,15,28.84444444
37.35,100,2,29.83,6.21,29,13,28.38333333
36.08,230,4,60,2.49,33,16,33
50.95,280,6,29.94,3.73,27,16,27.47777778
42.25,10,6,30.03,6.21,28,14,27.82222222
