dwpf,relh,drct,alti,vsby,feel,temp_c
28.58,48.94,320.0,28.88,6.21,41.87,8.199999999999998
54.5,86.66,230.0,28.88,16.0,58.46,14.700000000000001
42.8,66.7,250.0,29.38,6.21,53.6,12.0
43.88,77.3,230.0,29.38,14.0,50.72,10.399999999999999
45.5,95.34,270.0,29.38,2.0,46.76,8.199999999999998
39.38,75.86,300.0,29.38,9.0,45.36,8.1
41.0,87.09,130.0,30.03,6.21,40.14,7.000000000000001
38.0,75.73,140.0,30.03,10.0,38.4,7.300000000000001
44.78,80.0,170.0,30.03,16.0,50.72,10.399999999999999
44.6,71.45,170.0,29.85,6.21,53.6,12.0
42.0,82.53,50.0,29.85,7.0,43.74,8.399999999999999
39.2,75.84,30.0,29.85,6.21,41.85,8.0
40.82,84.73,360.0,29.85,14.0,42.0,7.300000000000001
36.5,70.58,320.0,29.85,16.0,40.74,7.5
31.82,69.09,290.0,29.85,14.0,35.42,5.1
29.3,74.89,330.0,29.85,14.0,30.26,2.5
26.6,61.58,290.0,29.85,14.0,32.9,3.699999999999998
30.0,83.43,30.0,29.85,6.0,28.57,1.4000000000000017
21.2,57.43,30.0,29.85,16.0,28.78,1.5000000000000016
28.0,76.39,10.0,29.85,14.0,27.44,1.5000000000000016
30.2,80.51,60.0,29.88,6.21,27.99,2.000000000000001
19.58,58.87,40.0,29.88,13.0,22.92,0.19999999999999968
28.4,86.39,40.0,29.68,3.11,24.11,0.0
30.2,74.98,190.0,29.74,6.21,28.49,2.999999999999999
39.74,87.02,150.0,29.74,6.0,39.19,6.300000000000002
33.8,77.46,250.0,29.74,11.0,37.09,4.6000000000000005
29.48,95.01,20.0,29.74,3.0,27.25,-0.7000000000000008
30.2,80.51,40.0,29.68,6.21,30.67,2.000000000000001
30.56,75.55,10.0,29.68,14.0,30.45,3.099999999999999
30.0,68.88,280.0,29.68,17.0,33.2,4.100000000000001
39.2,81.2,260.0,30.47,6.21,40.14,7.000000000000001
39.2,70.88,280.0,30.3,6.21,43.66,9.000000000000002
36.32,77.15,350.0,30.3,10.0,38.75,6.111111111111111
34.34,80.83,260.0,30.3,8.0,37.54,4.300000000000001
33.8,75.33,60.0,30.5,6.21,37.08,5.0
35.6,80.93,320.0,30.56,5.59,35.75,5.0
39.2,81.2,260.0,29.77,6.21,36.58,7.000000000000001
24.8,74.44,290.0,29.44,6.21,23.51,0.0
31.46,96.44,90.0,29.44,3.0,23.96,0.19999999999999968
27.5,80.29,40.0,29.44,7.0,25.88,0.5555555555555556
28.4,80.36,80.0,29.56,6.21,25.75,0.9999999999999984
32.0,86.59,50.0,29.62,3.73,31.62,2.000000000000001
32.0,86.59,10.0,29.68,3.11,30.67,2.000000000000001
27.86,72.13,10.0,29.68,14.0,27.93,2.2222222222222223
