dwpf,relh,drct,sknt,alti,vsby,feel,temp_c
48.2,11.93,30.0,4.0,29.71,6.21,109.34,45.0
33.8,7.58,30.0,14.0,29.77,4.97,102.24,43.0
32.0,7.43,30.0,14.0,29.74,4.97,100.37,42.0
37.4,9.72,20.0,10.0,29.74,6.21,99.76,41.0
46.4,13.75,350.0,3.0,29.77,6.21,101.97,41.0
39.2,9.38,310.0,8.0,29.71,6.21,103.33,43.0
41.0,10.06,320.0,2.0,29.74,6.21,103.77,43.0
35.6,8.58,360.0,8.0,29.74,6.21,100.98,42.0
35.6,9.05,20.0,6.0,29.71,6.21,99.42,41.0
35.6,9.05,340.0,11.0,29.74,6.21,99.42,41.0
35.6,9.54,50.0,5.0,29.8,6.21,97.85,40.0
48.2,15.52,160.0,6.0,29.8,6.21,100.65,40.0
32.0,7.84,140.0,2.0,29.74,6.21,98.82,41.0
37.4,9.72,10.0,5.0,29.83,6.21,99.76,41.0
48.2,16.37,60.0,4.0,29.83,6.21,98.83,39.0
39.2,11.0,350.0,12.0,29.83,6.21,98.56,40.0
28.4,7.14,20.0,13.0,29.74,6.21,96.81,40.0
53.6,21.11,110.0,3.0,29.74,6.21,98.44,38.0
41.0,12.44,130.0,8.0,29.85,6.21,97.39,39.0
44.6,14.29,100.0,7.0,29.85,6.21,98.07,39.0
41.0,12.44,80.0,8.0,29.91,6.21,97.39,39.0
46.4,13.75,330.0,3.0,29.88,6.21,101.97,41.0
39.2,12.25,100.0,4.0,29.88,6.21,95.43,38.0
37.4,10.25,10.0,8.0,29.88,6.21,98.19,40.0
50.0,16.59,10.0,7.0,29.91,2.49,101.14,40.0
37.4,10.81,120.0,10.0,29.91,4.97,96.63,39.0
46.4,16.15,140.0,4.0,29.94,6.21,96.63,38.0
50.0,18.48,0.0,0.0,29.94,2.49,97.42,38.0
48.2,17.28,170.0,3.0,29.91,3.11,97.0,38.0
41.0,12.44,250.0,4.0,29.88,4.97,97.39,39.0
50.0,17.51,330.0,3.0,29.91,6.21,99.28,39.0
51.8,19.76,280.0,5.0,29.94,4.35,97.9,38.0
35.6,10.63,190.0,5.0,29.94,6.21,94.76,38.0
35.6,11.23,310.0,3.0,30.0,6.21,93.23,37.0
41.0,13.14,340.0,6.0,29.94,6.21,95.79,38.0
42.8,13.34,330.0,5.0,29.88,6.21,97.76,39.0
37.4,11.41,250.0,10.0,29.88,6.21,95.08,38.0
37.4,10.25,270.0,8.0,29.83,6.21,98.19,40.0
42.8,14.08,110.0,5.0,29.85,3.73,96.04,38.0
44.6,15.93,190.0,6.0,29.88,4.35,94.55,37.0
41.0,13.14,310.0,4.0,29.91,6.21,95.79,38.0
46.4,21.29,80.0,6.0,30.0,6.21,87.86,33.0
33.8,13.05,30.0,3.0,29.97,6.21,87.13,33.0
39.2,14.44,330.0,10.0,29.94,6.21,90.57,35.0
39.2,15.27,350.0,10.0,29.94,6.21,88.92,34.0
37.4,13.46,30.0,9.0,29.91,6.21,90.46,35.0
33.8,12.34,40.0,10.0,29.94,6.21,88.55,34.0
39.2,14.44,10.0,4.0,29.97,6.21,90.57,35.0
50.0,21.79,110.0,1.0,30.06,6.21,91.89,35.0
39.2,14.44,310.0,4.0,30.0,6.21,90.57,35.0
32.0,10.27,350.0,9.0,29.88,6.21,91.19,36.0
30.2,9.55,330.0,10.0,29.91,6.21,90.96,36.0
30.2,10.09,10.0,10.0,29.91,6.21,89.48,35.0
37.4,13.46,360.0,9.0,29.94,6.21,90.46,35.0
42.8,17.55,350.0,5.0,29.97,6.21,89.17,34.0
35.6,13.25,70.0,7.0,29.97,6.21,88.76,34.0
48.2,24.11,340.0,4.0,30.0,6.21,86.44,32.0
44.6,19.89,330.0,3.0,29.97,6.21,87.68,33.0
35.6,12.53,340.0,3.0,30.0,6.21,90.25,35.0
33.8,13.05,170.0,5.0,30.09,4.35,87.13,33.0
33.8,13.8,160.0,6.0,29.97,6.21,85.59,32.0
37.4,14.23,250.0,6.0,29.88,6.21,88.83,34.0
48.2,25.52,330.0,5.0,30.06,6.21,84.87,31.0
