relh,drct,sknt,alti,vsby,dewpoint_c,feel_c,temp_c
30.26,50,6,29.85,6.21,15,35,35
17.74,310,3,29.83,3.73,11,38.71666667,40
36.35,360,9,29.94,6.21,17,34,34
43.34,50,12,30,6.21,18,32.90555556,32
48.32,20,11,30,6.21,17,29.46111111,29
42.25,20,11,30,6.21,14,27.82222222,28
41.97,10,9,29.97,6.21,13,26.96111111,27
39.3,40,9,30,6.21,12,27,27
37.35,50,13,30,6.21,13,28.38333333,29
26.05,60,13,29.94,6.21,11,31.49444444,33
14.44,200,14,29.77,3.73,4,32.53888889,35
34.41,280,9,29.91,6.21,10,27,27
65.54,70,12,29.91,6.21,20,28.49444444,27
44.25,300,8,30.03,6.21,12,25,25
47.52,320,7,29.97,6.21,14,26,26
36.79,30,14,29.94,6.21,11,27,27
28.63,60,15,29.97,6.21,9,27.8,29
25.52,350,8,30,6.21,9,29.37222222,31
42.8,40,8,30,3.73,16,30.02777778,30
48.05,350,7,29.97,6.21,16,28.27777778,28
44.25,40,5,29.94,3.73,12,25,25
34.13,50,12,29.91,6.21,9,26,26
41.97,40,9,29.88,6.21,13,26.96111111,27
45.34,350,6,30.06,6.21,16,29.12777778,29
42.52,10,8,30.03,3.73,15,28.84444444,29
37.35,100,2,29.83,6.21,13,28.38333333,29
36.08,230,4,60,2.49,16,33,33
50.95,280,6,29.94,3.73,16,27.47777778,27
42.25,10,6,30.03,6.21,14,27.82222222,28
47.52,10,8,29.97,6.21,14,26,26
50.43,350,7,29.91,6.21,14,25,25
54.05,50,10,30,6.21,16,26,26
54.3,20,10,30.06,6.21,17,27.68888889,27
57.36,10,12,30,3.73,16,25,25
50.17,350,9,29.97,6.21,13,24,24
44.25,10,9,29.94,6.21,12,25,25
43.97,50,8,29.91,6.21,11,24,24
41.42,350,3,29.94,6.21,11,25,25
36.22,40,8,29.97,6.21,9,25,25
39.02,30,9,30,6.21,11,26,26
50.69,20,9,30.03,2.49,15,26,26
36.79,50,14,30.03,6.21,11,27,27
25.26,10,3,29.97,6.21,8,28.45555556,30
47.79,330,4,30.03,1.24,15,27.28333333,27
41.69,330,6,30.06,2.49,12,26,26
36.51,30,10,30.03,6.21,10,26,26
46.98,340,3,30.03,1.86,12,24,24
44.25,310,6,30,0.47,12,25,25
64.48,310,5,29.97,1.24,15,22,22
49.37,310,4,30,6.21,10,21,21
53.03,320,9,30,6.21,12,22,22
53.03,10,6,30.06,2.49,12,22,22
53.03,350,7,29.97,2.49,12,22,22
43.97,210,16,29.83,2.49,11,24,24
52.51,210,14,29.68,0.75,10,20,20
38.56,250,25,29.74,0.31,1,15,15
36.74,210,12,30.06,6.21,3,18,18
29.92,210,15,30.03,6.21,1,19,19
18.55,200,12,29.91,2.49,-3,20.73888889,22
17.7,200,9,29.88,2.49,-2,22.91666667,24
28.68,200,7,29.91,2.49,3,21.00555556,22
39.43,240,5,30.09,1.86,4,18,18
